User,Need,Objective
Operational Data Analysis,,
Clinical Trial Study Manager,Dashboards/ KPIs/ sites Resource forecasting,Trial Management
Clinical Research Associate,Issue detection Protocol adherence,Data-Driven Monitoring
Clinical Data Analysis,,
Data Manager,Data issue identification Query management,Data Cleaning
Biostatistician,Exploratory analysis Trends and outlier analysis,Data Analysis
Modeler: DMPK / M&S,Multivariate visualization Variables relationships,Exposure-Response Analysis Dose Selection
Clinician,"Aggregate and patient-level visualization, medical review and safety assessment",Clinical results Risk minimization
Safety Officer,Aggregate and patient-level safety assessment,Signal Detection Risk Minimization
Medical Writer,Data visualization Data cross-referencing,"Clinical Study Reports Presentations, publications"
